Teams,P,W,D,L,F,A,+/-,Pts,WR,DR,League
Manchester City,38,28,5,5,94,33,61,89,5.6,1,PL
Arsenal,38,26,6,6,88,43,45,84,4.333333333,1,PL
Manchester United,38,23,6,9,58,43,15,75,2.555555556,0.666666667,PL
Newcastle United,38,19,14,5,68,33,35,71,3.8,2.8,PL
Liverpool,38,19,10,9,75,47,28,67,2.111111111,1.111111111,PL
Brighton & Hove Albion,38,18,8,12,72,53,19,62,1.5,0.666666667,PL
Aston Villa,38,18,7,13,51,46,5,61,1.384615385,0.538461538,PL
Tottenham Hotspur,38,18,6,14,70,63,7,60,1.285714286,0.428571429,PL
Brentford,38,15,14,9,58,46,12,59,1.666666667,1.555555556,PL
Fulham,38,15,7,16,55,53,2,52,0.9375,0.4375,PL
Crystal Palace,38,11,12,15,40,49,-9,45,0.733333333,0.8,PL
Chelsea,38,11,11,16,38,47,-9,44,0.6875,0.6875,PL
Wolverhampton Wanderers,38,11,8,19,31,58,-27,41,0.578947368,0.421052632,PL
West Ham United,38,11,7,20,42,55,-13,40,0.55,0.35,PL
AFC Bournemouth,38,11,6,21,37,71,-34,39,0.523809524,0.285714286,PL
Nottingham Forest,38,9,11,18,38,68,-30,38,0.5,0.611111111,PL
Everton,38,8,12,18,34,57,-23,36,0.444444444,0.666666667,PL
Leicester City,38,9,7,22,51,68,-17,34,0.409090909,0.318181818,PL
Leeds United,38,7,10,21,48,78,-30,31,0.333333333,0.476190476,PL
Southampton,38,6,7,25,36,73,-37,25,0.24,0.28,PL
Barcelona,38,28,4,6,70,20,50,88,4.666666667,0.666666667,LaLiga
Real Madrid,38,24,6,8,75,36,39,78,3,0.75,LaLiga
Atlético Madrid,38,23,8,7,70,33,37,77,3.285714286,1.142857143,LaLiga
Real Sociedad,38,21,8,9,51,35,16,71,2.333333333,0.888888889,LaLiga
Villarreal,38,19,7,12,59,40,19,64,1.583333333,0.583333333,LaLiga
Real Betis,38,17,9,12,46,41,5,60,1.416666667,0.75,LaLiga
