,,P,W,D,L,F,A,+/-,Pts,PI1,MPI1,PI2,MPI2
C,Feyenoord,34,25,7,2,81,30,51,82,227.7777778,2.357511352,1061.9,3.026083621
2,PSV Eindhoven,34,23,6,5,89,40,49,75,156.8181818,2.195396414,448.125,2.651399173
3,Ajax,34,20,9,5,86,38,48,69,98.57142857,1.993751051,394.2078947,2.595725318
4,AZ Alkmaar,34,20,7,7,68,35,33,67,95.71428571,1.980976763,290.4928571,2.463135458
5,FC Twente,34,18,10,6,66,27,39,64,72,1.857332496,327.1111111,2.514695296
6,Sparta Rotterdam,34,17,8,9,60,37,23,59,59,1.770852012,192.3701201,2.284137616
7,FC Utrecht,34,15,9,10,55,50,5,54,42.63157895,1.629731418,132.3,2.121559844
8,sc Heerenveen,34,12,10,12,44,50,-6,46,25.09090909,1.399516397,84.56333333,1.927182094
9,RKC Waalwijk,34,11,8,15,50,64,-14,41,19.60869565,1.292448706,60.04791667,1.778497944
10,Vitesse,34,10,10,14,45,50,-5,40,16.66666667,1.22184875,64.57142857,1.810040395
11,Go Ahead Eagles,34,10,10,14,46,56,-10,40,16.66666667,1.22184875,61.42857143,1.788370416
12,NEC Nijmegen,34,8,15,11,42,45,-3,39,12,1.079181246,70.96818182,1.851063679
13,Fortuna Sittard,34,10,6,18,39,62,-23,36,15,1.176091259,40.64516129,1.609008851
14,Volendam,34,10,6,18,42,71,-29,36,15,1.176091259,39.29577465,1.594345855
15,Excelsior Rotterdam,34,9,5,20,32,71,-39,32,11.52,1.061452479,27.22253521,1.434928568
16,FC Emmen,34,6,10,18,33,65,-32,28,6,0.77815125,25.1042735,1.399747658
R,SC Cambuur,34,5,4,25,26,69,-43,19,3.275862069,0.515325607,10.76942029,1.032192326
R,FC Groningen,34,4,6,24,31,75,-44,18,2.4,0.380211242,10.815,1.034026524
