,,P,W,D,L,F,A,+/-,Pts,PI1,MPI1,PI2,MPI2,,,,,,,,,,,,,,,,,TOTAL,,,,Anova: Single Factor,,,,,,
C,Barcelona,38,28,4,6,70,20,50,88,246.4,2.391640703,630.6666667,2.799799877,,,,2.812622717,2.799799877,2.877227325,2.627309248,3.026083621,,,si^2,0.190757437,0.13825686,0.201481117,0.128899796,0.315642567,0.975037778,,,,,,,,,,
2,Real Madrid,38,24,6,8,75,36,39,78,133.7142857,2.126177809,352.625,2.547313099,,,,2.668299214,2.547313099,2.503960828,2.49688474,2.651399173,,,ni-1,19,19,19,17,17,91,,,,SUMMARY,,,,,,
3,Atlético Madrid,38,23,8,7,70,33,37,77,118.0666667,2.072127302,375.0833333,2.574127767,,,,2.410630123,2.574127767,2.361188004,2.378669278,2.595725318,,,1/(ni-1),0.052631579,0.052631579,0.052631579,0.058823529,0.058823529,0.275541796,,,,Groups,Count,Sum,Average,Variance,,
4,Real Sociedad,38,21,8,9,51,35,16,71,87.70588235,1.943028722,243.4849206,2.38647207,,,,2.600268125,2.38647207,2.410458431,2.308213264,2.463135458,,,(ni-1)si2,3.624391309,2.626880348,3.828141217,2.191296536,5.365923644,17.63663305,,,,Column 1,20,39.70073904,1.985036952,0.190757437,,
5,Villarreal,38,19,7,12,59,40,19,64,64,1.806179974,179.7333333,2.254628629,,,,2.364756065,2.254628629,2.238882089,2.217696586,2.514695296,,,log(si2),-0.719518521,-0.859313309,-0.695765651,-0.889747769,-0.500804433,-3.665149683,,,,Column 2,20,39.74185145,1.987092572,0.13825686,,
6,Real Betis,38,17,9,12,46,41,5,60,48.57142857,1.686380877,142.3170732,2.153257004,,,,2.215663331,2.153257004,2.238295267,2.042365199,2.284137616,,,(ni-1)log(si2),-13.67085189,-16.32695288,-13.21954737,-15.12571208,-8.51367536,-66.85673957,,,,Column 3,20,39.41646747,1.970823374,0.201481117,,
7,Osasuna,38,15,8,15,37,42,-5,53,34.56521739,1.538639293,93.50714286,1.970844787,,,,2.143602191,1.970844787,2.336083558,2.072871772,2.121559844,,,,,,,,,,,,,Column 4,18,34.96742619,1.942634788,0.128899796,,
8,Athletic Bilbao,38,14,9,15,47,43,4,51,29.75,1.47348697,99.09418605,1.996048175,,,,2.117113399,1.996048175,2.12825897,2.052138435,1.927182094,,,,,,,,,,,,,Column 5,18,34.91614064,1.939785591,0.315642567,,
9,Mallorca,38,14,8,16,37,43,-6,50,29.16666667,1.464886798,82.08575581,1.914267801,,,,2.233213835,1.914267801,2.0761238,1.950593479,1.778497944,,,sp2,0.193809154,,,,,,,,,,,,,,,
10,Girona,38,13,10,15,58,55,3,49,25.48,1.406199424,91.68939394,1.962319102,,,,1.983230435,1.962319102,2.034676229,1.882024714,1.810040395,,,log(sp2),-0.712625713,,,,,,,,,,,,,,,
11,Rayo Vallecano,38,13,10,15,45,53,-8,49,25.48,1.406199424,81.62044025,1.911798933,,,,1.848094818,1.911798933,1.983561857,1.874256269,1.788370416,,,q,2.00779967,,,,,,,,,ANOVA,,,,,,
12,Sevilla,38,13,10,15,47,54,-7,49,25.48,1.406199424,82.66481481,1.917320697,,,,1.818387358,1.917320697,1.918173929,1.68408908,1.851063679,,,c,1.066138196,,,,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit
13,Celta Vigo,38,11,10,17,43,53,-10,43,17.51851852,1.243497377,62.07796892,1.792937499,,,,1.643770524,1.792937499,1.809233318,1.669200619,1.609008851,,,,,,,,,,,,,Between Groups,0.038807195,4,0.009701799,0.050058516,0.995221149,2.471791489
14,Valencia,38,11,9,18,42,45,-3,42,17.11111111,1.233278211,63.7,1.804139432,,,,1.703682106,1.804139432,1.80130802,1.550996747,1.594345855,,,q/c,1.883245228,11.07049769,,,,,,,,Within Groups,17.63663305,91,0.193809154,,,
15,Getafe,38,10,12,16,34,45,-11,42,15,1.176091259,59.29583333,1.773024177,,,,1.584682663,1.773024177,1.806289409,1.587960273,1.434928568,,,,,,,,,,,,,,,,,,,
16,Cádiz,38,10,12,16,30,53,-23,42,15,1.176091259,51.33608491,1.710422745,,,,1.61585382,1.710422745,1.641732696,1.645448126,1.399747658,,,,,,,,,,,,,Total,17.67544025,95,,,,
17,Almería,38,11,8,19,49,65,-16,41,16.7037037,1.222812778,53.02611336,1.724489796,,,,1.596307662,1.724489796,1.449397192,1.468554724,1.032192326,,,,,,,,,,,,,,,,,,,
R,Real Valladolid,38,11,7,20,33,63,-30,40,16.2962963,1.212088912,40.95238095,1.612279157,,,,1.586996245,1.612279157,1.442928127,1.458153637,1.034026524,,,,,,,,,,,,,,,,,,,
R,Espanyol,38,8,13,17,52,69,-17,37,9.866666667,0.994170456,48.01641091,1.681389695,,,,1.48454752,1.681389695,1.357277726,,,,,,,,,,,,,,,,,,,,,
R,Elche,38,5,10,23,30,67,-37,25,3.787878788,0.578396073,17.98750811,1.254971003,,,,1.269016891,1.254971003,1.001410693,,,,,,,,,,,,,,,,,,,,,
