P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,,,,,,,,,,,
38,28,5,5,94,33,61,89,5.6,1,2.848484848,4.21852303,,,,38,28,4,6,70,20,50,88,4.666666667,0.666666667,3.5,4.052183334,,,,,,38,28,6,4,77,28,49,90,7,1.5,2.75,5.4929,,,,,,34,21,8,5,92,38,54,71,4.2,1.6,2.421052632,3.373076842,,,,,34,25,7,2,81,30,51,82,12.5,3.5,2.7,9.4743,,,,,,,,,,Anova: Single Factor,,,,,,
38,26,6,6,88,43,45,84,4.333333333,1,2.046511628,3.259372093,,,,38,24,6,8,75,36,39,78,3,0.75,2.083333333,2.559691667,,,,,,38,22,8,8,60,30,30,74,2.75,1,2,2.41935,,,,,,34,22,5,7,83,44,39,71,3.142857143,0.714285714,1.886363636,2.478553247,,,,,34,23,6,5,89,40,49,75,4.6,1.2,2.225,3.6553775,,,,,,,,,,,,,,,,
38,23,6,9,58,43,15,75,2.555555556,0.666666667,1.348837209,1.969157364,,,,38,23,8,7,70,33,37,77,3.285714286,1.142857143,2.121212121,2.760417749,,,,,,38,23,3,12,71,42,29,72,1.916666667,0.25,1.69047619,1.722419048,,,,,,34,20,6,8,64,41,23,66,2.5,0.75,1.56097561,2.012343293,,,,,34,20,9,5,86,38,48,69,4,1.8,2.263157895,3.358862105,,,,,,,,,,SUMMARY,,,,,,
38,19,14,5,68,33,35,71,3.8,2.8,2.060606061,3.215738788,,,,38,21,8,9,51,35,16,71,2.333333333,0.888888889,1.457142857,1.946082539,,,,,,38,20,10,8,64,43,21,70,2.5,1.25,1.488372093,2.146175581,,,,,,34,18,8,8,51,38,13,62,2.25,1,1.342105263,1.838398684,,,,,34,20,7,7,68,35,33,67,2.857142857,1,1.942857143,2.398428571,,,,,,,,,,Groups,Count,Sum,Average,Variance,,
38,19,10,9,75,47,28,67,2.111111111,1.111111111,1.595744681,1.831387943,,,,38,19,7,12,59,40,19,64,1.583333333,0.583333333,1.475,1.496354166,,,,,,38,19,7,12,66,48,18,64,1.583333333,0.583333333,1.375,1.448833333,,,,,,34,17,8,9,51,44,7,59,1.888888889,0.888888889,1.159090909,1.558678788,,,,,34,18,10,6,66,27,39,64,3,1.666666667,2.444444444,2.685744444,,,,,,,,,,Column 1,20,25.91578763,1.295789381,1.213225867,,
38,18,8,12,72,53,19,62,1.5,0.666666667,1.358490566,1.338542453,,,,38,17,9,12,46,41,5,60,1.416666667,0.75,1.12195122,1.277804269,,,,,,38,18,9,11,50,38,12,63,1.636363636,0.818181818,1.315789474,1.489208612,,,,,,34,14,8,12,57,49,8,50,1.166666667,0.666666667,1.163265306,1.098009184,,,,,34,17,8,9,60,37,23,59,1.888888889,0.888888889,1.621621622,1.675532432,,,,,,,,,,Column 2,20,24.26886535,1.213443268,0.87618045,,
38,18,7,13,51,46,5,61,1.384615385,0.538461538,1.108695652,1.187774247,,,,38,15,8,15,37,42,-5,53,1,0.533333333,0.880952381,0.934512857,,,,,,38,22,6,10,56,33,23,62,2.2,0.6,1.696969697,1.942850909,,,,,,34,13,11,10,58,52,6,50,1.3,1.1,1.115384615,1.223644615,,,,,34,15,9,10,55,50,5,54,1.5,0.9,1.1,1.33616,,,,,,,,,,Column 3,20,25.83020506,1.291510253,1.371590747,,
38,18,6,14,70,63,7,60,1.285714286,0.428571429,1.111111111,1.112415873,,,,38,14,9,15,47,43,4,51,0.933333333,0.6,1.093023256,0.975513953,,,,,,38,15,11,12,53,43,10,56,1.25,0.916666667,1.23255814,1.218021705,,,,,,34,13,10,11,57,48,9,49,1.181818182,0.909090909,1.1875,1.146379545,,,,,34,12,10,12,44,50,-6,46,1,0.833333333,0.88,0.95316,,,,,,,,,,Column 4,18,21.15410325,1.175227958,0.646521558,,
38,15,14,9,58,46,12,59,1.666666667,1.555555556,1.260869565,1.548871014,,,,38,14,8,16,37,43,-6,50,0.875,0.5,0.860465116,0.85186657,,,,,,38,14,12,12,53,49,4,54,1.166666667,1,1.081632653,1.131812925,,,,,,34,12,10,12,54,55,-1,46,1,0.833333333,0.981818182,0.972565758,,,,,34,11,8,15,50,64,-14,41,0.733333333,0.533333333,0.78125,0.705816875,,,,,,,,,,Column 5,18,30.8854193,1.715856628,4.893689598,,
38,15,7,16,55,53,2,52,0.9375,0.4375,1.037735849,0.886688679,,,,38,13,10,15,58,55,3,49,0.866666667,0.666666667,1.054545455,0.925440606,,,,,,38,14,11,13,42,41,1,53,1.076923077,0.846153846,1.024390244,1.044783114,,,,,,34,11,10,13,52,55,-3,43,0.846153846,0.769230769,0.945454545,0.862224196,,,,,34,10,10,14,45,50,-5,40,0.714285714,0.714285714,0.9,0.74205,,,,,,,,,,,,,,,,
