,,P,W,D,L,F,A,+/-,Pts,PI1,MPI1,PI2,MPI2
C,Napoli,38,28,6,4,77,28,49,90,252,2.401400541,753.75,2.877227325
2,Lazio,38,22,8,8,60,30,30,74,101.75,2.007534418,319.125,2.503960828
3,Inter Milan,38,23,3,12,71,42,29,72,110.4,2.042969073,229.7142857,2.361188004
4,AC Milan,38,20,10,8,64,43,21,70,77.77777778,1.890855531,257.3110465,2.410458431
5,Atalanta,38,19,7,12,66,48,18,64,64,1.806179974,173.3333333,2.238882089
6,Roma,38,18,9,11,50,38,12,63,56.7,1.753583059,173.0992823,2.238295267
7,Juventus (-10),38,22,6,10,56,33,23,62,85.25,1.930694388,216.8121212,2.336083558
8,Fiorentina,38,15,11,12,53,43,10,56,36.52173913,1.56255145,134.3565891,2.12825897
9,Bologna,38,14,12,12,53,49,4,54,31.5,1.498310554,119.1581633,2.0761238
10,Torino,38,14,11,13,42,41,1,53,30.91666667,1.490192664,108.3119137,2.034676229
11,Monza,38,14,10,14,48,52,-4,52,30.33333333,1.481920138,96.28571429,1.983561857
12,Udinese,38,11,13,14,47,48,-1,46,18.74074074,1.272786753,82.82738095,1.918173929
13,Sassuolo,38,12,9,17,47,61,-14,45,20.76923077,1.317420412,64.45154291,1.809233318
14,Empoli,38,10,13,15,37,49,-12,43,15.35714286,1.186310424,63.28605442,1.80130802
15,Salernitana,38,9,15,14,48,62,-14,42,13.03448276,1.115093802,64.01612903,1.806289409
16,Lecce,38,8,12,18,33,46,-13,36,9.6,0.982271233,43.82608696,1.641732696
17,Spezia,38,6,13,19,31,62,-31,31,5.8125,0.764362966,28.14473684,1.449397192
R,Hellas Verona,38,7,10,21,31,59,-28,31,7,0.84509804,27.72861178,1.442928127
R,Cremonese,38,5,12,21,36,69,-33,27,4.090909091,0.611819829,22.76552795,1.357277726
R,Sampdoria,38,3,10,25,24,71,-47,19,1.628571429,0.211806811,10.03253521,1.001410693
